Fecha,Título,Sumario,Enlace
25/11/2024,Córdova gana la final de ida ante Fantasmas MM,El club potosino Córdova hizo respetar su localía y se impuso en la final de ida de la Liga Nacional de Futsal,https://www.lostiempos.com/deportes/futbol/20241125/cordova-gana-final-ida-fantasmas-mm
25/11/2024,Herboso y Padilla son los campeones nacionales de motos,"El cochabambino Jean Veron Herboso en la Open y Carlos Padilla en la MX-1, son los campeones nacionales de motociclismo de la temporada.",https://www.lostiempos.com/deportes/motores/20241125/herboso-padilla-son-campeones-nacionales-motos-0
25/11/2024,Universitario de Vinto no aguanta la ventaja parcial y cae ante Always Ready,Universitario de Vinto ayer no pudo resistir la victoria parcial de 1-0 y terminó cayendo por 2-1 ante Always Ready,https://www.lostiempos.com/deportes/futbol/20241125/universitario-vinto-no-aguanta-ventaja-parcial-cae-always-ready
25/11/2024,ABB y CDT Real Oruro definirán el título de la Copa Simón Bolívar 2024,"ABB y CDT Real Oruro definirán el título de la Simón Bolívar 2024, después que ambos se clasificaron a la final, que se jugará entre el 30 de noviembre y el 7 de diciembre",https://www.lostiempos.com/deportes/futbol/20241125/abb-cdt-real-oruro-definiran-titulo-copa-simon-bolivar-2024
25/11/2024,Vásquez revive la pasión por Wilster con su colección,Flaviano Vásquez Mamani es un hincha de Wilstermann que revive su pasión por el equipo de sus amores a través de su colección de revistas Número Uno,https://www.lostiempos.com/deportes/futbol/20241125/vasquez-revive-pasion-wilster-su-coleccion
25/11/2024,Wilster tiene un austero festejo por sus 75 años,Wilstermann celebró ayer sus 75 años de vida institucional con una misa celebrada en el templo de la Recoleta,https://www.lostiempos.com/deportes/futbol/20241125/wilster-tiene-austero-festejo-sus-75-anos
25/11/2024,BRT gana su cuarto título en la Copa Fara,El Bolivia Racing Team (BRT) conquistó su cuarto título en la Copa Fara USA de automovilismo después que se quedó con la corona de la clase GT3-A7,https://www.lostiempos.com/deportes/motores/20241125/brt-gana-su-cuarto-titulo-copa-fara
25/11/2024,El adiós de Nadal; la coronación de Sinner,"Tras el cierre de puertas del Palacio de los Deportes José María Martín Carpena de Málaga quedaron los rastros de nostalgia que deja el final de Rafael Nadal, el debate sobre su despedida y el fin de fiesta de la que disfrutó Italia, coronada otra vez como la mejor, beneficiada del momento de explosión de Jannik Sinner.",https://www.lostiempos.com/deportes/tenis/20241125/adios-nadal-coronacion-sinner
25/11/2024,Plazas de residencia médica son escasas y la UMSS aplica evaluaciones psicológicas,"La agresiva formación que se imparte a  internos y residentes  de Medicina, que en varios casos termina dañando su salud mental, se debe a la escasa cantidad de plazas disponibles  y  a la precariedad del sistema de salud.",https://www.lostiempos.com/actualidad/cochabamba/20241125/plazas-residencia-medica-son-escasas-umss-aplica-evaluaciones
25/11/2024,Decoran el prado de la zona sur con luces navideñas; el 2 de diciembre se encenderán,"Cochabamba se prepara para celebrar la navidad. Mientras la instalación de las luces  y figuras navideñas avanzan en el prado de la avenida Suecia, al sur de la ciudad",https://www.lostiempos.com/actualidad/cochabamba/20241125/decoran-prado-zona-sur-luces-navidenas-2-diciembre-se-encenderan
