fecha,titulo,sumario,enlace,fuente
20/11/2024,Eduardo Villegas será el nuevo director técnico de Always Ready,"El cochabambino será el entrenador del millonario, pero no figurará como tal, debido a que ya dirigió a dos equipos este año. Ante Royal Pari, Jaime Jemio estará en el banquillo ",https://eldeber.com.bo//eduardo-villegas-sera-el-nuevo-director-tecnico-de-always-ready_391905,eldeber
20/11/2024,Arcistas prevén sesionar resguardados por policías en la Cámara de Diputados,La presencia policial será un hecho inédito en los 42 años de vida democrática en el país,https://eldeber.com.bo//arcistas-preven-sesionar-resguardados-por-policias-en-la-camara-de-diputados_391904,eldeber
20/11/2024,Fallece librecambista atracado en el mercado Los Pozos,Samuel Campos trabajaba como librecambista desde hace 35 años en Santa Cruz de la Sierra. Ayer (martes) fue atacado a balazos para robarle y este miércoles falleció.,https://eldeber.com.bo/santa-cruz/fallece-librecambista-atracado-en-el-mercado-los-pozos_391903,eldeber
20/11/2024,Gobierno rechaza calificación de riesgo país de JP Morgan y asegura que “Bolivia mantiene una economía resiliente”,"El Ministerio de Economía expresó su desacuerdo también con un artículo de Bloomberg, titulado: “La tragedia de Bolivia terminará en devaluación, default y caos”",https://eldeber.com.bo/economia/gobierno-rechaza-calificacion-de-riesgo-pais-de-jp-morgan-y-asegura-que-bolivia-mantiene-una-economi_391902,eldeber
20/11/2024,Aduana de Chile incauta $us 1.2 millones en un bus boliviano,Este es el decomiso de divisas extranjeras más grande desde noviembre de 2023 realizado por la Aduana chilena ,https://eldeber.com.bo//aduana-de-chile-incauta-us-12-millones-en-un-bus-boliviano_391900,eldeber
20/11/2024,Argentina y Brasil inician negociaciones oficiales para la compra-venta de gas; el transporte a través de Bolivia es inminente,Ambos países firmaron un memorándum de entendimiento que crea un grupo de trabajo bilateral y prevé la posibilidad de negociar hasta 30 MMm3d en 2030 ,https://eldeber.com.bo/economia/argentina-y-brasil-inician-negociaciones-oficiales-para-la-compra-venta-de-gas-el-transporte-a-trave_391899,eldeber
20/11/2024,"Morena, el nuevo partido de Eva Copa que busca apoyo en todo el país",La campaña masiva se está realizando en la ciudad de El Alto principalmente. Copa llegó al municipio con Jallalla La Paz,https://eldeber.com.bo//morena-el-nuevo-partido-de-eva-copa-que-busca-apoyo-en-todo-el-pais_391898,eldeber
20/11/2024,Concejales presentan denuncias contra 9 transportistas por el cerco y violencia en el edificio municipal,"Entre los acusados está el dirigente del transporte urbano en Santa Cruz, Segundo Ricaldi. Los legisladores piden que sean sancionados con todo el peso de la ley",https://eldeber.com.bo/santa-cruz/concejales-presentan-denuncias-contra-9-transportistas-por-el-cerco-y-violencia-en-el-edificio-munic_391896,eldeber
20/11/2024,Encuentro de salud y bienestar,"El evento se llevó a cabo en de HP Medical, tuvo como objetivo promover los cuidados de los pacientes diabéticos",https://eldeber.com.bo//encuentro-de-salud-y-bienestar_391894,eldeber
20/11/2024,"Analista internacional advierte que crisis boliviana terminará en “tragedia, devaluación y caos” ","Bolivia necesita desesperadamente un enorme ajuste fiscal, una devaluación de su moneda y la refinanciación de su deuda externa con el apoyo del Fondo Monetario Internacional, según el columnista Juan Pablo Spinetto",https://eldeber.com.bo/economia/analista-internacional-advierte-que-crisis-boliviana-terminara-en-tragedia-devaluacion-y-caos_391891,eldeber
20/11/2024,Se pronunció el capitán de la Verde: “Juntos somos más fuertes”,"Un día después del empate de la selección boliviana a manos de Paraguay, que dolió como una derrota, por las Eliminatorias mundialistas, Luis Haquin utilizó sus redes sociales para desahogarse",https://eldeber.com.bo/futbol/se-pronuncio-el-capitan-de-la-verde-juntos-somos-mas-fuertes_391901,eldeber
20/11/2024,Alcaldía pondrá a disposición vehículos durante los días de paro de transporte en Santa Cruz ,El mismo alcalde Jhonny Fernández instó a los micreros a deponer actitudes y suspender la medida anunciada para este jueves y viernes,https://eldeber.com.bo/santa-cruz/alcaldia-pondra-a-disposicion-vehiculos-durante-los-dias-de-paro-de-transporte-en-santa-cruz_391897,eldeber
20/11/2024,Recomendaciones al hacer jugos y batidos saludables,"Los jugos y batidos pueden contribuir, pero no significa que son mágicos o milagrosos",https://eldeber.com.bo/para-ellas/recomendaciones-al-hacer-jugos-y-batidos-saludables_391889,eldeber
20/11/2024,Comidas con toque gourmet,El adjetivo gourmet de origen francés es utilizado para calificar los platos más refinados.,https://eldeber.com.bo/para-ellas/comidas-con-toque-gourmet_391886,eldeber
