Fecha,Título,Sumario,Enlace
04/12/2024,"En Potosí, El Alto y Achacachi - La Paz, Jhonny Fernández recibe el apoyo de sectores sociales para ser precandidato a la presidencia 2025","Jhonny Fernández Saucedo, presi- dente de Fundamax, junto a su comitiva, llegó hasta Achacachi, la tierra de los Ponchos Rojos para, como lo hace siempre, entregar obras solidarias",https://www.lostiempos.com/mostrador/mostrador/20241204/potosi-alto-achacachi-paz-jhonny-fernandez-recibe-apoyo-sectores
04/12/2024,Decenas de colonos israelíes atacan a palestinos y calcinan una casa tras desalojo cerca de Nablus,"Las fuerzas de seguridad de Israel desalojaron ayer un puesto de avanzada de colonos cerca de la urbe palestina de Nablus, en Cisjordania ocupada, lo que provocó esta madrugada que decenas de colonos judíos atacasen a palestinos y calcinaran una vivienda y al menos dos coches en las aldeas de Huwara y Beit Furik.",https://www.lostiempos.com/actualidad/mundo/20241204/decenas-colonos-israelies-atacan-palestinos-calcinan-casa-desalojo-cerca
04/12/2024,Riesgo por lluvias aumenta por falta de plan y mitigación ante cambio climático,Cinco municipios del departamento de La Paz se declararon en estado de desastre por los estragos causados por las lluvias,https://www.lostiempos.com/actualidad/pais/20241204/riesgo-lluvias-aumenta-falta-plan-mitigacion-cambio-climatico
04/12/2024,Congreso del MAS arcista para cambiar estatutos será en febrero,"El presidente del Movimiento Al Socialismo (MAS), Grover García",https://www.lostiempos.com/actualidad/pais/20241204/congreso-del-mas-arcista-cambiar-estatutos-sera-febrero
04/12/2024,Cultura. Bolivia promueve su patrimonio cultural en el 19º foro de la Unesco,Bolivia presentó materiales para la salvaguardia del Patrimonio cultural inmaterial y el Carnaval de Oruro,https://www.lostiempos.com/doble-click/cultura/20241204/cultura-bolivia-promueve-su-patrimonio-cultural-19o-foro-unesco
04/12/2024,"Tras sentencia a Goni, la Fiscalía alista extradición y Arce dice “se hizo justicia”",Tras la sentencia del Tribunal Supremo de Justicia (TSJ) de condenar a seis años de cárcel a Gonzalo “Goni” Sánchez de Lozada,https://www.lostiempos.com/actualidad/pais/20241204/sentencia-goni-fiscalia-alista-extradicion-arce-dice-se-hizo-justicia
04/12/2024,La Coral Infantil vuelve con  todo para animar la Navidad,La Coral Infantil de Cochabamba es sinónimo de Navidad. Los niños que conforman el grupo musical volvieron al ruedo con renovados bríos el lunes,https://www.lostiempos.com/doble-click/musica/20241204/coral-infantil-vuelve-todo-animar-navidad
04/12/2024,Unesco. La guarania es Patrimonio Inmaterial de la Humanidad,"La guarania, el ritmo creado en 1925 por José Asunción Flores para preservar el idioma guaraní y rescatar del olvido la música paraguaya, fue incluida ayer por la Organización de las Naciones Unidas para la Educación",https://www.lostiempos.com/doble-click/cultura/20241204/unesco-guarania-es-patrimonio-inmaterial-humanidad
04/12/2024,"Partidos se ponen al día con el TSE, pero muchos carecen de militancia",Las organizaciones políticas de alcance nacional ultiman la elección de sus directivas para mantener vigente su personería jurídica ante el Órgano Electoral,https://www.lostiempos.com/actualidad/pais/20241204/partidos-se-ponen-al-dia-tse-pero-muchos-carecen-militancia
04/12/2024,Teatro. El Escenario trae una obra conmovedora,El estudio de arte El Escenario personificará la obra de teatro-danza Socavón en el icónico teatro José María Achá,https://www.lostiempos.com/doble-click/cultura/20241204/teatro-escenario-trae-obra-conmovedora
04/12/2024,TSE inhabilita a 5 candidatos a judiciales y analiza 80 denuncias de vulneraciones,El Tribunal Supremo Electoral (TSE) inhabilitó a cinco candidatos a las elecciones judiciales por infringir las normas.,https://www.lostiempos.com/actualidad/pais/20241204/tse-inhabilita-5-candidatos-judiciales-analiza-80-denuncias-vulneraciones
04/12/2024,"Avanza la ofensiva de los rebeldes en Siria,  y Rusia anuncia maniobras de su Armada","La ofensiva iniciada hace siete días continuaba ayer en varios frentes, en los que los insurgentes continúan avanzando hacia la ciudad de Hama",https://www.lostiempos.com/actualidad/mundo/20241204/avanza-ofensiva-rebeldes-siria-rusia-anuncia-maniobras-su-armada
04/12/2024,El futuro es incierto para el Mercosur con Javier Milei en la presidencia pro tempore,"El Mercosur, el histórico bloque regional fundado en 1991 por Argentina, Brasil, Paraguay y Uruguay, atraviesa un momento de incertidumbre con Javier Milei al frente de Argentina",https://www.lostiempos.com/actualidad/mundo/20241204/futuro-es-incierto-mercosur-javier-milei-presidencia-pro-tempore
04/12/2024,San Antonio sigue en caída libre y cede unidades en casa,"San Antonio de Bulo Bulo pasó ayer una amarga tarde, luego de caer 2-3 con Nacional Potosí en el estadio Carlos Villegas de Entre Ríos",https://www.lostiempos.com/deportes/futbol/20241204/san-antonio-sigue-caida-libre-cede-unidades-casa
